Date,Close
8/4/2011,2.28
8/5/2011,2.06
8/8/2011,2.07
8/9/2011,2.06
8/10/2011,2.12
8/11/2011,2.09
8/12/2011,2.08
8/15/2011,2.12
8/16/2011,2.07
8/17/2011,2.1
8/18/2011,2.07
8/19/2011,2.08
8/22/2011,2.07
8/23/2011,2.05
8/24/2011,2.04
8/25/2011,2.03
8/26/2011,2.02
8/29/2011,2.03
8/30/2011,2.05
8/31/2011,2.06
9/2/2011,2.02
9/5/2011,2.02
9/6/2011,1.93
9/7/2011,1.93
9/8/2011,1.97
9/12/2011,1.97
9/13/2011,2.01
9/14/2011,2.01
9/15/2011,2.05
9/16/2011,2.07
9/19/2011,2.11
9/20/2011,2.01
9/21/2011,2.03
9/22/2011,2.01
9/23/2011,2.03
9/26/2011,2
9/27/2011,2
9/28/2011,1.96
9/29/2011,2
9/30/2011,2.05
10/3/2011,1.98
10/5/2011,1.98
10/6/2011,2.04
10/7/2011,2.04
10/10/2011,2.03
10/11/2011,1.99
10/12/2011,1.99
10/13/2011,2
10/14/2011,2.03
10/17/2011,1.98
10/18/2011,2
10/19/2011,1.98
10/20/2011,1.96
10/21/2011,1.98
10/24/2011,1.98
10/25/2011,1.97
10/26/2011,1.96
10/27/2011,1.97
10/28/2011,1.88
10/31/2011,1.87
11/1/2011,1.86
11/2/2011,1.42
11/3/2011,1.19
11/4/2011,1.19
11/7/2011,1.13
11/8/2011,1.2
11/9/2011,1.22
11/10/2011,1.2
11/11/2011,1.22
11/14/2011,1.2
11/15/2011,1.21
11/16/2011,1.17
11/17/2011,1.22
11/18/2011,1.29
11/21/2011,1.31
11/22/2011,1.26
11/23/2011,1.26
11/24/2011,1.26
11/25/2011,1.26
11/28/2011,1.25
11/29/2011,1.29
11/30/2011,1.25
12/1/2011,1.27
12/2/2011,1.28
12/5/2011,1.27
12/6/2011,1.24
12/7/2011,1.26
12/8/2011,1.27
12/9/2011,1.24
12/12/2011,1.26
12/13/2011,1.24
12/14/2011,1.25
12/15/2011,1.24
12/16/2011,1.24
12/19/2011,1.26
12/20/2011,1.24
12/21/2011,1.25
12/22/2011,1.24
12/23/2011,1.24
12/28/2011,1.24
12/29/2011,1.25
12/30/2011,1.28
1/3/2012,1.27
1/4/2012,1.29
1/5/2012,1.28
1/6/2012,1.29
1/9/2012,1.29
1/10/2012,1.29
1/11/2012,1.26
1/12/2012,1.29
1/13/2012,1.29
1/16/2012,1.31
1/17/2012,1.34
1/18/2012,1.36
1/19/2012,1.38
1/20/2012,1.34
1/23/2012,1.35
1/24/2012,1.35
1/25/2012,1.36
1/27/2012,1.34
1/30/2012,1.37
1/31/2012,1.37
2/1/2012,1.38
2/2/2012,1.4
2/3/2012,1.4
2/6/2012,1.4
2/7/2012,1.41
2/8/2012,1.41
2/9/2012,1.38
2/10/2012,1.37
2/13/2012,1.34
2/14/2012,1.34
2/15/2012,1.37
2/16/2012,1.37
2/17/2012,1.31
2/20/2012,1.29
2/21/2012,1.29
2/22/2012,1.2
2/23/2012,1.19
2/24/2012,1.22
2/27/2012,1.17
2/28/2012,1.16
2/29/2012,1.19
3/1/2012,1.19
3/2/2012,1.17
3/5/2012,1.18
3/6/2012,1.17
3/7/2012,1.17
3/8/2012,1.15
3/9/2012,1.15
3/12/2012,1.14
3/13/2012,1.14
3/14/2012,1.15
3/15/2012,1.15
3/16/2012,1.12
3/19/2012,1.14
3/20/2012,1.14
3/21/2012,1.12
3/22/2012,1.12
3/23/2012,1.12
3/26/2012,1.12
3/27/2012,1.14
3/28/2012,1.16
3/29/2012,1.13
3/30/2012,1.13
4/2/2012,1.12
4/3/2012,1.11
4/4/2012,1.12
4/5/2012,1.12
4/10/2012,1.11
4/11/2012,1.11
4/12/2012,1.12
4/13/2012,1.11
4/16/2012,1.11
4/17/2012,1.11
4/18/2012,1.12
4/19/2012,1.1
4/20/2012,1.11
4/23/2012,1.12
4/24/2012,1.11
4/26/2012,1.1
4/27/2012,1.11
4/30/2012,1.09
5/1/2012,1.1
5/2/2012,1.07
5/3/2012,1.06
5/4/2012,1.04
5/7/2012,1.04
5/8/2012,1.01
5/9/2012,1.01
5/10/2012,1.01
5/11/2012,1.02
5/14/2012,1.05
5/15/2012,1.02
5/16/2012,1.01
5/17/2012,1.05
5/18/2012,1.02
5/21/2012,1.03
5/22/2012,1.04
5/23/2012,1.03
5/24/2012,1.05
5/25/2012,1.03
5/28/2012,1.04
5/29/2012,1.04
5/30/2012,1.11
5/31/2012,1.07
6/1/2012,1.07
6/4/2012,1.07
6/5/2012,1.09
6/6/2012,1.14
6/7/2012,1.14
6/8/2012,1.13
6/12/2012,1.08
6/13/2012,1.08
6/14/2012,1.11
6/15/2012,1.12
6/18/2012,1.09
6/19/2012,1.08
6/20/2012,1.07
6/21/2012,1.06
6/22/2012,1.04
6/25/2012,1.04
6/26/2012,1.05
6/27/2012,1.01
6/28/2012,1.04
6/29/2012,1.08
7/2/2012,1.12
7/3/2012,1.14
7/4/2012,1.16
7/5/2012,1.16
7/6/2012,1.15
7/9/2012,1.09
7/10/2012,1.11
7/11/2012,1.13
7/12/2012,1.14
7/13/2012,1.11
7/16/2012,1.12
7/17/2012,1.12
7/18/2012,1.14
7/19/2012,1.14
7/20/2012,1.18
7/23/2012,1.19
7/24/2012,1.16
7/25/2012,1.14
7/26/2012,1.16
7/27/2012,1.17
7/30/2012,1.15
7/31/2012,1.16
8/1/2012,1.17
8/2/2012,1.17
8/3/2012,1.15
8/6/2012,1.15
8/7/2012,1.16
8/8/2012,1.14
8/9/2012,1.14
8/10/2012,1.15
8/13/2012,1.15
8/14/2012,1.14
8/15/2012,1.14
8/16/2012,1.14
8/17/2012,1.14
8/20/2012,1.12
8/21/2012,1.12
8/22/2012,1.15
8/23/2012,1.12
8/24/2012,1.13
8/27/2012,1.13
8/28/2012,1.13
8/29/2012,1.13
8/30/2012,1.12
8/31/2012,1.13
9/3/2012,1.11
9/4/2012,1.13
9/5/2012,1.12
9/6/2012,1.12
9/7/2012,1.12
9/10/2012,1.12
9/11/2012,1.11
9/12/2012,1.11
9/13/2012,1.12
9/14/2012,1.11
9/17/2012,1.12
9/18/2012,1.12
9/19/2012,1.11
9/20/2012,1.12
9/21/2012,1.11
9/24/2012,1.12
9/25/2012,1.11
9/26/2012,1.11
9/27/2012,1.1
9/28/2012,1.11
10/1/2012,1.16
10/2/2012,1.11
10/3/2012,1.12
10/4/2012,1.14
10/5/2012,1.13
10/8/2012,1.13
10/9/2012,1.13
10/10/2012,1.13
10/11/2012,1.13
10/12/2012,1.13
10/15/2012,1.15
10/16/2012,1.12
10/17/2012,1.13
10/18/2012,1.13
10/19/2012,1.13
10/22/2012,1.14
10/23/2012,1.14
10/24/2012,1.13
10/25/2012,1.13
10/26/2012,1.15
10/29/2012,1.16
10/30/2012,1.19
10/31/2012,1.18
11/1/2012,1.19
11/2/2012,1.2
11/5/2012,1.23
11/6/2012,1.29
11/7/2012,1.29
11/8/2012,1.3
11/9/2012,1.29
11/12/2012,1.29
11/13/2012,1.25
11/14/2012,1.22
11/15/2012,1.23
11/16/2012,1.19
11/19/2012,1.25
11/20/2012,1.24
11/21/2012,1.24
11/22/2012,1.28
11/23/2012,1.28
11/26/2012,1.28
11/27/2012,1.26
11/28/2012,1.24
11/29/2012,1.26
11/30/2012,1.28
12/3/2012,1.34
12/4/2012,1.31
12/5/2012,1.28
12/6/2012,1.28
12/7/2012,1.27
12/10/2012,1.27
12/11/2012,1.27
12/12/2012,1.27
12/13/2012,1.27
12/14/2012,1.27
12/17/2012,1.27
12/18/2012,1.26
12/19/2012,1.26
12/20/2012,1.27
12/21/2012,1.26
12/24/2012,1.28
12/27/2012,1.28
12/28/2012,1.29
12/31/2012,1.3
1/2/2013,1.3
1/3/2013,1.29
1/4/2013,1.29
1/7/2013,1.34
1/8/2013,1.35
1/9/2013,1.41
1/10/2013,1.44
1/11/2013,1.46
1/14/2013,1.46
1/15/2013,1.46
1/16/2013,1.54
1/17/2013,1.58
1/18/2013,1.56
1/21/2013,1.54
1/22/2013,1.51
1/23/2013,1.52
1/24/2013,1.56
1/25/2013,1.63
1/29/2013,1.64
1/30/2013,1.65
1/31/2013,1.63
2/1/2013,1.58
2/4/2013,1.54
2/5/2013,1.51
2/6/2013,1.61
2/7/2013,1.63
2/8/2013,1.64
2/11/2013,1.64
2/12/2013,1.61
2/13/2013,1.63
2/14/2013,1.65
2/15/2013,1.66
2/18/2013,1.64
2/19/2013,1.62
2/20/2013,1.63
2/21/2013,1.65
2/22/2013,1.66
2/25/2013,1.65
2/26/2013,1.6
2/27/2013,1.62
2/28/2013,1.62
3/1/2013,1.63
3/4/2013,1.63
3/5/2013,1.63
3/6/2013,1.7
3/7/2013,1.71
3/8/2013,1.72
3/11/2013,1.76
3/12/2013,1.75
3/13/2013,1.73
3/14/2013,1.73
3/15/2013,1.73
3/18/2013,1.7
3/19/2013,1.69
3/20/2013,1.67
3/21/2013,1.73
3/22/2013,1.73
3/25/2013,1.72
3/26/2013,1.69
3/27/2013,1.72
3/28/2013,1.72
4/2/2013,1.73
4/3/2013,1.81
4/4/2013,1.82
4/5/2013,1.76
4/8/2013,1.74
4/9/2013,1.74
4/10/2013,1.76
4/11/2013,1.78
4/12/2013,1.82
4/15/2013,1.82
4/16/2013,1.73
4/17/2013,1.76
4/18/2013,1.78
4/19/2013,1.78
4/22/2013,1.78
4/23/2013,1.79
4/24/2013,1.83
4/26/2013,1.84
4/29/2013,1.88
4/30/2013,1.87
5/1/2013,1.86
5/2/2013,1.87
5/3/2013,1.85
5/6/2013,1.86
5/7/2013,1.87
5/8/2013,1.73
5/9/2013,1.77
5/10/2013,1.77
5/13/2013,1.63
5/14/2013,1.62
5/15/2013,1.63
5/16/2013,1.69
5/17/2013,1.69
5/20/2013,1.72
5/21/2013,1.68
5/22/2013,1.67
5/23/2013,1.7
5/24/2013,1.7
5/27/2013,1.71
5/28/2013,1.65
5/29/2013,1.69
5/30/2013,1.69
5/31/2013,1.67
6/3/2013,1.69
6/4/2013,1.69
6/5/2013,1.66
6/6/2013,1.64
6/7/2013,1.6
6/11/2013,1.68
6/12/2013,1.63
6/13/2013,1.62
6/14/2013,1.64
6/17/2013,1.62
6/18/2013,1.63
6/19/2013,1.66
6/20/2013,1.67
6/21/2013,1.63
6/24/2013,1.63
6/25/2013,1.62
6/26/2013,1.65
6/27/2013,1.6
6/28/2013,1.66
7/1/2013,1.6
7/2/2013,1.59
7/3/2013,1.61
7/4/2013,1.65
7/5/2013,1.71
7/8/2013,1.75
7/9/2013,1.8
7/10/2013,1.81
7/11/2013,1.83
7/12/2013,1.77
7/15/2013,1.74
7/16/2013,1.78
7/17/2013,1.75
7/18/2013,1.73
7/19/2013,1.75
7/22/2013,1.73
7/23/2013,1.77
7/24/2013,1.8
7/25/2013,1.78
7/26/2013,1.76
7/29/2013,1.76
7/30/2013,1.77
7/31/2013,1.73
8/1/2013,1.73
8/2/2013,1.78
8/5/2013,1.74
8/6/2013,1.74
8/7/2013,1.75
8/8/2013,1.76
8/9/2013,1.76
8/12/2013,1.77
8/13/2013,1.77
8/14/2013,1.78
8/15/2013,1.82
8/16/2013,1.82
8/19/2013,1.82
8/20/2013,1.82
8/21/2013,1.75
8/22/2013,1.79
8/23/2013,1.82
8/26/2013,1.81
8/27/2013,1.77
8/28/2013,1.78
8/29/2013,1.74
8/30/2013,1.78
9/2/2013,1.75
9/3/2013,1.77
9/4/2013,1.75
9/5/2013,1.74
9/6/2013,1.7
9/9/2013,1.64
9/10/2013,1.67
9/11/2013,1.67
9/12/2013,1.68
9/13/2013,1.67
9/16/2013,1.68
9/17/2013,1.72
9/18/2013,1.74
9/19/2013,1.77
9/20/2013,1.72
9/23/2013,1.69
9/24/2013,1.67
9/25/2013,1.71
9/26/2013,1.73
9/27/2013,1.72
9/30/2013,1.68
10/1/2013,1.68
10/2/2013,1.68
10/3/2013,1.69
10/4/2013,1.72
10/7/2013,1.72
10/8/2013,1.67
10/9/2013,1.67
10/10/2013,1.66
10/11/2013,1.68
10/14/2013,1.67
10/15/2013,1.69
10/16/2013,1.69
10/17/2013,1.68
10/18/2013,1.66
10/21/2013,1.67
10/22/2013,1.65
10/23/2013,1.65
10/24/2013,1.65
10/25/2013,1.66
10/28/2013,1.66
10/29/2013,1.66
