Date,Close
12/15/2010,27.25
12/16/2010,27.35
12/17/2010,28.07
12/20/2010,28.53
12/21/2010,29.75
12/22/2010,29.08
12/23/2010,30.81
12/27/2010,30.99
12/28/2010,31.06
12/29/2010,31
12/30/2010,30.8
12/31/2010,30.92
1/3/2011,30.47
1/4/2011,29.98
1/5/2011,30.4
1/6/2011,30.03
1/7/2011,29.99
1/10/2011,30
1/11/2011,31.14
1/12/2011,30.94
1/13/2011,30.2
1/14/2011,30.25
1/18/2011,30.23
1/19/2011,30.19
1/20/2011,30.05
1/21/2011,30.5
1/24/2011,31.57
1/25/2011,31.05
1/26/2011,31.3
1/27/2011,30.2
1/28/2011,29.98
1/31/2011,30
2/1/2011,30.04
2/2/2011,30
2/3/2011,30
2/4/2011,29.99
2/7/2011,30.51
2/8/2011,31.16
2/9/2011,31.28
2/10/2011,31.27
2/11/2011,31.51
2/14/2011,31
2/15/2011,31
2/16/2011,31.48
2/17/2011,32.5
2/18/2011,33.51
2/22/2011,31.96
2/23/2011,32
2/24/2011,32.49
2/25/2011,32.06
2/28/2011,31.99
3/1/2011,30.7
3/2/2011,30.07
3/3/2011,30.7
3/4/2011,30.75
3/7/2011,30.36
3/8/2011,30.44
3/9/2011,30.17
3/10/2011,30.25
3/11/2011,30.51
3/14/2011,31.33
3/15/2011,31.55
3/16/2011,31.43
3/17/2011,31.35
3/18/2011,31.58
3/21/2011,33.15
3/22/2011,32.73
3/23/2011,33.31
3/24/2011,33.17
3/25/2011,33.09
3/28/2011,34.4
3/29/2011,32.7
3/30/2011,32.47
3/31/2011,32.66
4/1/2011,34.08
4/4/2011,34
4/5/2011,33.82
4/6/2011,32.79
4/7/2011,33.33
4/8/2011,33.09
4/11/2011,33.37
4/12/2011,33.29
4/13/2011,33.49
4/14/2011,33.67
4/15/2011,34.26
4/18/2011,33.76
4/19/2011,34.22
4/20/2011,34.82
4/21/2011,34.64
4/25/2011,34.29
4/26/2011,34.63
4/27/2011,34.81
4/28/2011,36.79
4/29/2011,37.51
5/2/2011,36.13
5/3/2011,34.12
5/4/2011,34.09
5/5/2011,34.72
5/6/2011,33.18
5/9/2011,33.12
5/10/2011,33.78
5/11/2011,33.39
5/12/2011,33.61
5/13/2011,35.38
5/16/2011,35.15
5/17/2011,34.07
5/18/2011,35
5/19/2011,36
5/20/2011,35.5
5/23/2011,34.87
5/24/2011,34.34
5/25/2011,33.72
5/26/2011,33.69
5/27/2011,33.37
