Date,Close
5/25/2017,16.5
5/26/2017,17.55
5/30/2017,17.77
5/31/2017,18.37
6/1/2017,18.08
6/2/2017,18
6/5/2017,17.75
6/6/2017,17.15
6/7/2017,16.74
6/8/2017,17.1
6/9/2017,16.91
6/12/2017,16.96
6/13/2017,17.13
6/14/2017,17.14
6/15/2017,17.12
6/16/2017,17.59
6/19/2017,17.83
6/20/2017,17.34
6/21/2017,17.21
6/22/2017,17.15
6/23/2017,17.42
6/26/2017,17.36
6/27/2017,17.49
6/28/2017,17.4
6/29/2017,17.15
6/30/2017,17.4
7/3/2017,17.42
7/5/2017,17.45
7/6/2017,17.39
7/7/2017,17.37
7/10/2017,17.29
7/11/2017,17.09
7/12/2017,16.96
7/13/2017,17
7/14/2017,16.8
7/17/2017,16.72
7/18/2017,16.36
7/19/2017,16.67
7/20/2017,16.45
7/21/2017,16.51
7/24/2017,16.49
7/25/2017,16.26
7/26/2017,16.19
7/27/2017,16.54
7/28/2017,17
7/31/2017,17.1
8/1/2017,17.08
8/2/2017,17.02
8/3/2017,17.01
8/4/2017,16.62
8/7/2017,16.67
8/8/2017,16.55
8/9/2017,16.65
8/10/2017,16.51
8/11/2017,16.45
8/14/2017,16.39
8/15/2017,16.31
8/16/2017,16.17
8/17/2017,15.5
8/18/2017,15.5
8/21/2017,15.49
8/22/2017,15.67
8/23/2017,16.05
8/24/2017,15.81
8/25/2017,15.92
8/28/2017,15.58
8/29/2017,15.66
8/30/2017,16
8/31/2017,16.04
9/1/2017,15.99
9/5/2017,16.08
9/6/2017,16.47
9/7/2017,15.96
9/8/2017,16.05
9/11/2017,16.26
9/12/2017,16.39
9/13/2017,16.38
9/14/2017,16.39
9/15/2017,15.72
9/18/2017,15.36
9/19/2017,15.26
9/20/2017,15.17
9/21/2017,15.25
9/22/2017,15.15
9/25/2017,15.03
9/26/2017,15.3
9/27/2017,15.48
9/28/2017,15.13
9/29/2017,15.08
10/2/2017,15.43
10/3/2017,15.18
10/4/2017,15.16
10/5/2017,15.18
10/6/2017,15.16
10/9/2017,15.12
10/10/2017,15.16
10/11/2017,14.88
10/12/2017,14.5
10/13/2017,14.48
10/16/2017,14.29
10/17/2017,14.33
10/18/2017,14.29
10/19/2017,14.24
10/20/2017,14.31
10/23/2017,13.99
10/24/2017,13.8
10/25/2017,13.77
10/26/2017,13.54
10/27/2017,13.11
10/30/2017,12.92
10/31/2017,12.79
11/1/2017,12.87
11/2/2017,12.99
11/3/2017,12.38
11/6/2017,12.48
11/7/2017,12.24
11/8/2017,12.16
11/9/2017,12.11
11/10/2017,11.95
11/13/2017,11.56
11/14/2017,10.22
11/15/2017,10.35
11/16/2017,10.01
11/17/2017,10
11/20/2017,9.99
11/21/2017,9.74
11/22/2017,9.84
11/24/2017,9.61
11/27/2017,9.57
11/28/2017,9.95
11/29/2017,10.07
11/30/2017,10
12/1/2017,9.92
12/4/2017,9.88
12/5/2017,9.68
12/6/2017,9.31
12/7/2017,9.05
12/8/2017,8.85
12/11/2017,8.8
12/12/2017,8.82
12/13/2017,8.76
12/14/2017,9.26
12/15/2017,9.47
12/18/2017,9.77
12/19/2017,9.79
12/20/2017,9.81
12/21/2017,10.43
12/22/2017,10.64
12/26/2017,10.74
12/27/2017,10.7
12/28/2017,10.33
12/29/2017,10.57
1/2/2018,10.62
1/3/2018,10.67
1/4/2018,10.9
1/5/2018,11.16
1/8/2018,11.25
1/9/2018,10.96
1/10/2018,10.25
1/11/2018,10.05
1/12/2018,10.35
1/16/2018,10.29
1/17/2018,10.32
1/18/2018,10.6
1/19/2018,10.48
1/22/2018,10.54
1/23/2018,10.36
1/24/2018,10.09
1/25/2018,10.32
1/26/2018,10.34
1/29/2018,10.18
1/30/2018,10.31
1/31/2018,10.24
2/1/2018,10.29
2/2/2018,10.25
2/5/2018,9.79
2/6/2018,9.71
2/7/2018,9.88
2/8/2018,9.64
2/9/2018,9.64
2/12/2018,9.7
2/13/2018,9.88
2/14/2018,10.26
2/15/2018,10.41
2/16/2018,10.37
2/20/2018,10.33
2/21/2018,10.05
2/22/2018,10.16
2/23/2018,10.45
2/26/2018,10.42
2/27/2018,10.26
2/28/2018,9.66
3/1/2018,9.63
3/2/2018,9.64
3/5/2018,9.77
3/6/2018,9.91
3/7/2018,9.99
3/8/2018,9.48
3/9/2018,9.25
3/12/2018,9.13
3/13/2018,9.23
3/14/2018,9.18
3/15/2018,7.04
3/16/2018,7.41
3/19/2018,7.35
3/20/2018,7.35
3/21/2018,7.69
3/22/2018,7.33
3/23/2018,7.31
3/26/2018,7.19
3/27/2018,7.17
3/28/2018,7.18
3/29/2018,7.15
4/2/2018,7.04
4/3/2018,7
4/4/2018,7.1
4/5/2018,7.13
4/6/2018,6.85
4/9/2018,6.79
4/10/2018,6.81
4/11/2018,6.75
4/12/2018,6.82
4/13/2018,6.9
4/16/2018,6.84
4/17/2018,6.85
4/18/2018,6.9
4/19/2018,6.96
4/20/2018,7
4/23/2018,7.05
4/24/2018,6.97
4/25/2018,6.97
4/26/2018,6.93
4/27/2018,6.51
4/30/2018,6.33
5/1/2018,6.34
5/2/2018,6.4
5/3/2018,6.25
5/4/2018,6.46
5/7/2018,6.7
5/8/2018,6.5
5/9/2018,6.6
5/10/2018,6.75
5/11/2018,8.69
5/14/2018,8.74
5/15/2018,8.33
5/16/2018,8.28
5/17/2018,8.48
5/18/2018,8.67
5/21/2018,8.93
5/22/2018,8.87
5/23/2018,8.95
5/24/2018,8.77
5/25/2018,8.68
5/29/2018,8.72
5/30/2018,8.51
5/31/2018,8.85
6/1/2018,8.92
6/4/2018,8.65
6/5/2018,8.77
6/6/2018,8.94
6/7/2018,9
6/8/2018,9.23
6/11/2018,9.48
6/12/2018,9.52
6/13/2018,9.24
6/14/2018,9.33
6/15/2018,9.68
6/18/2018,9.6
6/19/2018,9.75
6/20/2018,9.69
6/21/2018,9.44
6/22/2018,9.79
6/25/2018,9.74
6/26/2018,9.7
6/27/2018,9.57
6/28/2018,9.66
6/29/2018,9.66
7/2/2018,9.82
7/3/2018,10.3
7/5/2018,10.57
7/6/2018,11
7/9/2018,11.43
7/10/2018,10.98
7/11/2018,10.65
7/12/2018,10.9
7/13/2018,10.88
7/16/2018,11.14
7/17/2018,10.77
7/18/2018,10.96
7/19/2018,10.76
7/20/2018,10.66
7/23/2018,10.65
7/24/2018,10.41
7/25/2018,10.12
7/26/2018,10.4
7/27/2018,10.4
7/30/2018,10.6
7/31/2018,10.88
8/1/2018,10.98
8/2/2018,10.77
8/3/2018,10.91
8/6/2018,10.97
8/7/2018,10.93
8/8/2018,10.87
8/9/2018,10.93
8/10/2018,12.65
8/13/2018,11.97
8/14/2018,11.8
8/15/2018,11.82
8/16/2018,11.9
8/17/2018,11.69
8/20/2018,11.8
8/21/2018,11.79
8/22/2018,11.73
8/23/2018,11.61
8/24/2018,11.77
8/27/2018,11.86
8/28/2018,11.77
8/29/2018,11.83
8/30/2018,11.61
8/31/2018,11.65
9/4/2018,11.4
9/5/2018,11.29
9/6/2018,10.91
9/7/2018,11.14
9/10/2018,11.17
9/11/2018,11.18
9/12/2018,11.28
9/13/2018,11.14
9/14/2018,11.18
9/17/2018,11.28
9/18/2018,11.49
9/19/2018,11.52
9/20/2018,11.62
9/21/2018,11.47
9/24/2018,11.23
9/25/2018,11.4
9/26/2018,11.41
9/27/2018,11.33
9/28/2018,11.21
10/1/2018,11.21
10/2/2018,11.69
10/3/2018,11.96
10/4/2018,12.3
10/5/2018,11.74
10/8/2018,11.35
10/9/2018,11.54
10/10/2018,11.22
10/11/2018,11.08
10/12/2018,11.09
10/15/2018,11.3
10/16/2018,11.37
10/17/2018,11.03
10/18/2018,10.86
10/19/2018,10.83
10/22/2018,10.6
10/23/2018,10.39
10/24/2018,9.86
10/25/2018,9.92
10/26/2018,9.57
10/29/2018,9.31
10/30/2018,9.54
10/31/2018,9.74
11/1/2018,9.75
11/2/2018,9.77
11/5/2018,9.99
11/6/2018,10.22
11/7/2018,10.43
11/8/2018,10.38
11/9/2018,10.88
11/12/2018,10.74
11/13/2018,10.46
11/14/2018,10.49
11/15/2018,10.32
11/16/2018,10.18
11/19/2018,10.03
11/20/2018,9.73
11/21/2018,10
11/23/2018,9.86
11/26/2018,9.64
11/27/2018,9.38
11/28/2018,9.5
11/29/2018,9.4
11/30/2018,9.34
12/3/2018,9.17
12/4/2018,8.82
12/6/2018,8.7
12/7/2018,8.48
12/10/2018,8.13
12/11/2018,8.05
12/12/2018,8.14
12/13/2018,7.91
12/14/2018,7.98
12/17/2018,7.85
12/18/2018,7.95
12/19/2018,7.87
12/20/2018,7.3
12/21/2018,7.02
12/24/2018,6.76
12/26/2018,6.89
12/27/2018,6.76
12/28/2018,7.03
12/31/2018,7.13
1/2/2019,7.49
1/3/2019,7.43
1/4/2019,7.64
1/7/2019,7.84
1/8/2019,8.05
1/9/2019,7.88
1/10/2019,7.95
1/11/2019,7.94
1/14/2019,7.97
1/15/2019,8.1
1/16/2019,7.83
1/17/2019,7.8
1/18/2019,7.89
1/22/2019,7.66
1/23/2019,7.58
1/24/2019,7.79
1/25/2019,7.58
1/28/2019,7.52
1/29/2019,7.36
1/30/2019,7.23
1/31/2019,7.56
2/1/2019,7.85
2/4/2019,7.89
2/5/2019,7.8
2/6/2019,7.56
2/7/2019,7.52
2/8/2019,7.7
2/11/2019,7.86
2/12/2019,7.92
2/13/2019,7.89
2/14/2019,8.08
2/15/2019,8.49
2/19/2019,8.6
2/20/2019,8.26
2/21/2019,8.32
2/22/2019,8.62
2/25/2019,8.51
2/26/2019,8.41
2/27/2019,8.33
2/28/2019,8.22
3/1/2019,8.3
3/4/2019,8.19
3/5/2019,8.02
3/6/2019,7.93
3/7/2019,7.98
3/8/2019,7.5
3/11/2019,7.91
3/12/2019,7.86
3/13/2019,8.24
3/14/2019,8.5
3/15/2019,9.18
3/18/2019,9.21
3/19/2019,9.31
3/20/2019,9.22
3/21/2019,9.44
3/22/2019,9.5
3/25/2019,9.46
3/26/2019,9.41
3/27/2019,9.31
3/28/2019,9.3
3/29/2019,9.1
4/1/2019,9.44
4/2/2019,9.43
4/3/2019,9.44
4/4/2019,9.49
4/5/2019,9.74
4/8/2019,9.53
4/9/2019,9.37
4/10/2019,9.73
4/11/2019,9.59
4/12/2019,9.52
4/15/2019,9.2
4/16/2019,9.21
4/17/2019,9.4
4/18/2019,9.25
4/22/2019,9.05
4/23/2019,8.78
4/24/2019,8.51
4/25/2019,8.24
4/26/2019,8.28
4/29/2019,8.27
4/30/2019,7.99
5/1/2019,7.99
5/2/2019,8.02
5/3/2019,8.08
5/6/2019,8.14
5/7/2019,7.92
5/8/2019,7.83
5/9/2019,8.37
5/10/2019,8.42
5/13/2019,8.09
5/14/2019,8.17
